respondent_id,xyz_vaccine,seasonal_vaccine
26707,0.08070847631953872,0.23551511965225738
26708,0.06651274753996685,0.0390901938378315
26709,0.3902307562845598,0.525947895829748
26710,0.49172015823707804,0.9193226437908975
26711,0.19107555225001738,0.4282970177061112
26712,0.5004901085153507,0.8332194945612883
26713,0.30992831710074087,0.5467545306933195
26714,0.14126476293227724,0.19181771922633692
26715,0.03444375347222592,0.2275696048759253
26716,0.21711231213680382,0.8743476085563667
26717,0.01681055371196112,0.4838085121412553
26718,0.1634753200915321,0.5351050168091835
26719,0.11665786325653403,0.8480694405044025
26720,0.06342753134335784,0.07298809972984589
26721,0.4353525124295902,0.3657476700363885
26722,0.04296950838151948,0.10102194133194169
26723,0.7154960340013302,0.75016735903653
26724,0.2167572913606945,0.7088176717786443
26725,0.0322608525658622,0.09368177001532721
26726,0.00946904123852898,0.03803537460209168
26727,0.26845047961280766,0.7902475378599689
26728,0.13670796894090215,0.48098100524998216
26729,0.10142899225419989,0.5387782623673456
26730,0.03225119686613966,0.2695255259215457
26731,0.028269908748778955,0.4537184484853641
26732,0.06585838350692581,0.1520956277277473
26733,0.9090521545163167,0.8933144766296136
26734,0.7748928505603286,0.3237152066639238
26735,0.1503990026045999,0.3096171545696298
26736,0.0573509027442637,0.10526637941233664
26737,0.10290935501871934,0.12592881694618885
26738,0.5164273981662362,0.8378015762104989
26739,0.1425757984096531,0.3327161681685623
26740,0.16043218897171457,0.07906363446263309
26741,0.18606453272084666,0.8383005743715967
26742,0.10522113380703989,0.45913846927601354
26743,0.046841587594117044,0.5175474804298175
26744,0.04404756050716477,0.6330718445136073
26745,0.12657485175013292,0.8987480281934598
26746,0.12716141087104876,0.2693203529975604
26747,0.07308177986766128,0.19719416259649417
26748,0.09328466959601105,0.01543970234834217
26749,0.06892878441153233,0.49568595050824626
26750,0.5885923655864821,0.9182157965656865
26751,0.273154578250423,0.5132587787837767
26752,0.020778439175016053,0.0208047920204064
26753,0.20672459525769138,0.5718656228916226
26754,0.172627681265911,0.41960728479882115
26755,0.09087548967230875,0.4925506641094286
26756,0.017842196237508448,0.07797382465587371
26757,0.3896512236317556,0.4117077357977903
26758,0.7039718584241319,0.815261769725968
26759,0.016221317356858635,0.324888173834533
26760,0.014201345374025719,0.05056755203319552
26761,0.14687241364988768,0.7316732162099765
26762,0.12971104312410153,0.8764623300520817
26763,0.8594116594300226,0.9422294544154255
26764,0.8908205060903832,0.8905976210565665
26765,0.027688726616398922,0.7554668411370747
26766,0.1235151744651593,0.1400660012376921
26767,0.8266676836571314,0.6718189303222363
26768,0.017987581785327302,0.3754531620808714
26769,0.15675074534516642,0.09808105262733291
26770,0.09792144297476364,0.3831744110982995
26771,0.03934537299691805,0.16954045265482776
26772,0.06864413504286715,0.3881489109185547
26773,0.013521841099390336,0.22771157281860058
26774,0.0358253537524556,0.17171375229099642
26775,0.07725307152724042,0.4287153186706349
26776,0.4545542212906489,0.20728410296992608
26777,0.10427732404760183,0.785518881787186
26778,0.1762603540672179,0.15138019698141963
26779,0.0908945605948746,0.701810658250134
26780,0.10983507667010386,0.8755641325638532
26781,0.03815359360881479,0.5684861555723266
26782,0.03674831497490189,0.32837516312334236
26783,0.05203476641988704,0.4023672811162328
26784,0.5061825513668003,0.8955233955945678
26785,0.4199871082495194,0.7014605687504432
26786,0.07912476866477691,0.21556915782783095
26787,0.09903908313104037,0.5586900678042453
26788,0.1185194926137283,0.8546950135368828
26789,0.011630092764336,0.2097741462972755
26790,0.052917239800890005,0.42234065812588817
